0.000000 	2 3 57 3331
0.000012 	2 3 53 525
0.000004 	2 3 54 828
0.000004 	2 3 48 13
0.000003 	2 3 49 9
0.000004 	2 3 60 4294967276
0.000077 	2 0 0 0
0.022946 	2 3 50 11
0.000004 	2 3 53 524
0.000002 	2 3 54 817
0.000003 	2 3 48 15
0.000002 	2 3 49 12
0.000003 	2 3 60 4294967246
0.000003 	2 0 0 0
0.011447 	2 3 50 12
0.000004 	2 3 53 523
0.000003 	2 3 54 805
0.000002 	2 3 48 21
0.000002 	2 3 49 11
0.000003 	2 3 60 4294967270
0.000003 	2 0 0 0
0.011206 	2 3 50 11
0.000004 	2 3 53 522
0.000002 	2 3 54 788
0.000003 	2 3 48 13
0.000002 	2 3 49 7
0.000002 	2 3 60 4294967268
0.000004 	2 0 0 0
0.011658 	2 3 54 774
0.000004 	2 3 48 15
0.000002 	2 3 49 12
0.000003 	2 3 60 4294967238
0.000002 	2 0 0 0
0.011421 	2 3 53 525
0.000004 	2 3 54 758
0.000004 	2 3 49 11
0.000002 	2 3 60 4294967251
0.000003 	2 0 0 0
0.011660 	2 3 50 10
0.000005 	2 3 53 528
0.000004 	2 3 54 740
0.000008 	2 0 0 0
0.011171 	2 3 50 11
0.000004 	2 3 53 530
0.000003 	2 3 54 722
0.000002 	2 3 48 16
0.000002 	2 3 49 10
0.000005 	2 0 0 0
0.011559 	2 3 53 534
0.000005 	2 3 54 702
0.000002 	2 3 48 14
0.000003 	2 3 49 13
0.000002 	2 3 60 4294967271
0.000003 	2 0 0 0
0.011498 	2 3 50 10
0.000006 	2 3 53 538
0.000002 	2 3 54 685
0.000003 	2 3 48 15
0.000002 	2 3 49 12
0.000003 	2 3 60 4294967257
0.000003 	2 0 0 0
0.011398 	2 3 53 542
0.000005 	2 3 54 668
0.000005 	2 3 60 4294967274
0.000003 	2 0 0 0
0.011518 	2 3 50 12
0.000004 	2 3 53 547
0.000003 	2 3 54 647
0.000002 	2 3 48 16
0.000003 	2 3 49 13
0.000002 	2 3 60 4294967257
0.000003 	2 0 0 0
0.011185 	2 3 53 554
0.000005 	2 3 54 628
0.000002 	2 3 48 13
0.000003 	2 3 49 6
0.000002 	2 3 60 4294967271
0.000003 	2 0 0 0
0.011297 	2 3 50 11
0.000005 	2 3 53 559
0.000002 	2 3 54 613
0.000002 	2 3 48 14
0.000003 	2 3 49 9
0.000002 	2 3 60 4294967284
0.000003 	2 0 0 0
0.011514 	2 3 50 10
0.000004 	2 3 53 566
0.000003 	2 3 54 590
0.000002 	2 3 48 12
0.000002 	2 3 49 7
0.000003 	2 3 60 4294967271
0.000003 	2 0 0 0
0.011625 	2 3 50 11
0.000004 	2 3 53 573
0.000003 	2 3 54 572
0.000002 	2 3 48 15
0.000003 	2 3 49 12
0.000002 	2 3 60 4294967251
0.000003 	2 0 0 0
0.011695 	2 3 53 580
0.000005 	2 3 54 554
0.000003 	2 3 48 21
0.000002 	2 3 49 13
0.000002 	2 3 60 4294967283
0.000004 	2 0 0 0
0.011221 	2 3 50 10
0.000004 	2 3 53 588
0.000003 	2 3 54 537
0.000002 	2 3 48 13
0.000003 	2 3 49 11
0.000002 	2 3 60 4294967251
0.000003 	2 0 0 0
0.011169 	2 3 50 16
0.000005 	2 3 53 597
0.000002 	2 3 54 519
0.000003 	2 3 48 14
0.000002 	2 3 49 9
0.000003 	2 3 60 4294967276
0.000003 	2 0 0 0
0.011642 	2 3 57 -1
0.000006 	2 0 0 0
0.677292 	2 3 57 3332
0.000006 	2 3 50 11
0.000003 	2 3 53 482
0.000001 	2 3 54 823
0.000002 	2 3 48 15
0.000001 	2 3 49 14
0.000002 	2 3 60 4294967236
0.000048 	2 0 0 0
0.022576 	2 3 54 811
0.000004 	2 3 48 17
0.000003 	2 3 60 4294967259
0.000002 	2 0 0 0
0.011481 	2 3 50 12
0.000003 	2 3 54 795
0.000002 	2 3 48 15
0.000003 	2 0 0 0
0.011513 	2 3 53 485
0.000004 	2 3 54 770
0.000002 	2 3 48 14
0.000001 	2 3 60 4294967274
0.000002 	2 0 0 0
0.011400 	2 3 50 13
0.000003 	2 3 53 493
0.000002 	2 3 54 742
0.000001 	2 3 48 16
0.000002 	2 3 49 13
0.000001 	2 3 60 4294967241
0.000002 	2 0 0 0
0.011200 	2 3 50 15
0.000005 	2 3 53 505
0.000001 	2 3 54 701
0.000002 	2 3 48 15
0.000001 	2 3 49 9
0.000002 	2 3 60 4294967285
0.000003 	2 0 0 0
0.011932 	2 3 50 19
0.000003 	2 3 53 525
0.000002 	2 3 54 659
0.000002 	2 3 48 25
0.000001 	2 3 49 12
0.000002 	2 3 60 0
0.000001 	2 0 0 0
0.011831 	2 3 50 18
0.000003 	2 3 53 545
0.000002 	2 3 54 613
0.000001 	2 3 48 23
0.000002 	2 3 49 16
0.000002 	2 0 0 0
0.010537 	2 3 57 -1
0.000004 	2 0 0 0
1.951084 	2 3 57 3333
0.000019 	2 3 50 14
0.000010 	2 3 53 509
0.000008 	2 3 54 824
0.000009 	2 3 48 15
0.000009 	2 3 49 12
0.000008 	2 3 60 4294967238
0.000126 	2 0 0 0
0.022362 	2 3 50 12
0.000005 	2 3 53 507
0.000002 	2 3 54 810
0.000004 	2 3 49 13
0.000002 	2 3 60 4294967242
0.000003 	2 0 0 0
0.011465 	2 3 50 13
0.000005 	2 3 53 505
0.000002 	2 3 54 793
0.000003 	2 3 48 16
0.000002 	2 3 49 11
0.000002 	2 3 60 4294967247
0.000004 	2 0 0 0
0.011319 	2 3 53 506
0.000003 	2 3 54 773
0.000003 	2 3 48 14
0.000003 	2 3 49 9
